col1_1a,col1_1,RA_d,DEC_d,FWHM_d,R_SAT_d,IND_d,MAG_d,MAG_d_unc,AP_d,AP_d_unc,PSF_d,PSF_d_unc,SKY_d,VISION,col1_2,ra_1,dec_1,wfc3m,wfc3u,nic1.6m,nic1.6u,nic2.05m,nic2.05u,irtfm,irtfu,hops,separation_2,closesthops,4thnearest,Separation_1,col1_3,ra_s,dec_s,b36_s,unc36_s,b45_s,unc45_s,b58_s,unc58_s,b8_s,unc8_s,J,uncJ,H,uncH,Ks,uncKs,class,col1_2a,Unnamed: 0.4,ra_v,dec_v,J_v,Je_v,H_v,He_v,Ks_v,Kse_v,Separation
31,31.0,83.71606415680517,-5.533620664746033,2.471472978591919,0.0,65.0,20.768169591003414,0.0582092404365539,20.768169591003414,0.0582092404365539,,,0.6692880988121033,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,83.71688112578161,-5.661357696961587,2.364804029464722,0.0,66.0,21.78091258721924,0.0463115908205509,21.78091258721924,0.0463115908205509,,,0.1706353425979614,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33.0,83.71710196776878,-5.543371481891922,2.522201538085938,0.0,67.0,19.952844807678225,0.0300284512341022,19.952844807678225,0.0300284512341022,,,0.6654336452484131,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34.0,83.71830716086365,-5.656672675514068,2.210352659225464,0.0,70.0,18.553362080627444,0.005736403632909,18.553362080627444,0.005736403632909,,,0.3261729180812836,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,176,83.718293,-5.656614,,,18.412,0.059,17.708,0.077,0.21723838340910837
35,35.0,83.71979809886501,-5.653411275108843,2.413727998733521,0.0,73.0,19.82104701715088,0.0138737056404352,19.82104701715088,0.0138737056404352,,,0.2489525675773621,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,182,83.719811,-5.653378,,,19.813,0.148,18.838,0.148,0.128397268063668
36,36.0,83.71984721417488,-5.650474550512095,2.624045372009277,0.0,74.0,21.977564045959475,0.0770596340298652,21.977564045959475,0.0770596340298652,,,0.2483401596546173,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37.0,83.72092192251654,-5.561196612805973,2.6441490650177,0.0,75.0,19.985111424499514,0.032650776207447,19.985111424499514,0.032650776207447,,,0.642827033996582,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38.0,83.7215717359498,-5.667868595018425,2.61080265045166,0.0,77.0,20.311498829895022,0.0211653150618076,20.311498829895022,0.0211653150618076,,,0.300744891166687,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,191,83.721606,-5.667854,,,,,18.345,0.115,0.13352013371393578
39,39.0,83.72313076109535,-5.559368779840939,2.59286642074585,0.0,78.0,18.111103245788577,0.00759491417557,18.111103245788577,0.00759491417557,,,0.7243050336837769,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40.0,83.72495358337862,-5.662030380488169,2.731997966766357,0.0,83.0,21.174093434387203,0.0371969230473041,21.174093434387203,0.0371969230473041,,,0.2800977528095245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41.0,83.72604832966451,-5.647238612967199,2.706199645996094,0.0,85.0,22.04397601800537,0.0820886418223381,22.04397601800537,0.0820886418223381,,,0.1740158647298813,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42.0,83.72605131653673,-5.658370198402061,2.444685220718384,0.0,86.0,21.92478389459228,0.0607555545866489,21.92478389459228,0.0607555545866489,,,0.2073996216058731,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43.0,83.72721441175815,-5.662921410696363,2.439157485961914,0.0,88.0,20.379400441223147,0.0178542584180831,20.379400441223147,0.0178542584180831,,,0.2477293014526367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
